Zone;Land;Beskrivelse;Fra;Til
REMOTE;NO;Remote Norge;6847;6848
REMOTE;NO;Remote Norge;7194;7194
REMOTE;NO;Remote Norge;7724;7724
REMOTE;NO;Remote Norge;8157;8160
REMOTE;NO;Remote Norge;6363;6364
REMOTE;NO;Remote Norge;6855;6856
REMOTE;NO;Remote Norge;7200;7200
REMOTE;NO;Remote Norge;7730;7730
REMOTE;NO;Remote Norge;8170;8170
REMOTE;NO;Remote Norge;6387;6387
REMOTE;NO;Remote Norge;6858;6859
REMOTE;NO;Remote Norge;7203;7203
REMOTE;NO;Remote Norge;7732;7732
REMOTE;NO;Remote Norge;8178;8178
REMOTE;NO;Remote Norge;6408;6408
REMOTE;NO;Remote Norge;6863;6863
REMOTE;NO;Remote Norge;7206;7206
REMOTE;NO;Remote Norge;7740;7740
REMOTE;NO;Remote Norge;8181;8182
REMOTE;NO;Remote Norge;6418;6418
REMOTE;NO;Remote Norge;6868;6873
REMOTE;NO;Remote Norge;7212;7213
REMOTE;NO;Remote Norge;7742;7742
REMOTE;NO;Remote Norge;8184;8190
REMOTE;NO;Remote Norge;6462;6462
REMOTE;NO;Remote Norge;6875;6879
REMOTE;NO;Remote Norge;7228;7228
REMOTE;NO;Remote Norge;7744;7746
REMOTE;NO;Remote Norge;8193;8193
REMOTE;NO;Remote Norge;6470;6470
REMOTE;NO;Remote Norge;6884;6885
REMOTE;NO;Remote Norge;7232;7232
REMOTE;NO;Remote Norge;7748;7748
REMOTE;NO;Remote Norge;8195;8198
REMOTE;NO;Remote Norge;6472;6472
REMOTE;NO;Remote Norge;6887;6887
REMOTE;NO;Remote Norge;7234;7234
REMOTE;NO;Remote Norge;7750;7750
REMOTE;NO;Remote Norge;8211;8211
REMOTE;NO;Remote Norge;6483;6484
REMOTE;NO;Remote Norge;6893;6896
REMOTE;NO;Remote Norge;7236;7236
REMOTE;NO;Remote Norge;7760;7760
REMOTE;NO;Remote Norge;8214;8215
REMOTE;NO;Remote Norge;6486;6488
REMOTE;NO;Remote Norge;6899;6900
REMOTE;NO;Remote Norge;7240;7243
REMOTE;NO;Remote Norge;7770;7770
REMOTE;NO;Remote Norge;8218;8220
REMOTE;NO;Remote Norge;6570;6570
REMOTE;NO;Remote Norge;6905;6908
REMOTE;NO;Remote Norge;7246;7247
REMOTE;NO;Remote Norge;7777;7777
REMOTE;NO;Remote Norge;8226;8226
REMOTE;NO;Remote Norge;6590;6590
REMOTE;NO;Remote Norge;6910;6910
REMOTE;NO;Remote Norge;7250;7250
REMOTE;NO;Remote Norge;7790;7790
REMOTE;NO;Remote Norge;8230;8230
REMOTE;NO;Remote Norge;6610;6610
REMOTE;NO;Remote Norge;6912;6919
REMOTE;NO;Remote Norge;7255;7257
REMOTE;NO;Remote Norge;7796;7797
REMOTE;NO;Remote Norge;8250;8250
REMOTE;NO;Remote Norge;6612;6613
REMOTE;NO;Remote Norge;6924;6924
REMOTE;NO;Remote Norge;7260;7260
REMOTE;NO;Remote Norge;7810;7810
REMOTE;NO;Remote Norge;8255;8255
REMOTE;NO;Remote Norge;6620;6620
REMOTE;NO;Remote Norge;6926;6929
REMOTE;NO;Remote Norge;7263;7263
REMOTE;NO;Remote Norge;7817;7820
REMOTE;NO;Remote Norge;8260;8260
REMOTE;NO;Remote Norge;6622;6622
REMOTE;NO;Remote Norge;6940;6940
REMOTE;NO;Remote Norge;7266;7266
REMOTE;NO;Remote Norge;7822;7822
REMOTE;NO;Remote Norge;8264;8264
REMOTE;NO;Remote Norge;6628;6630
REMOTE;NO;Remote Norge;6942;6942
REMOTE;NO;Remote Norge;7268;7268
REMOTE;NO;Remote Norge;7856;7856
REMOTE;NO;Remote Norge;8266;8266
REMOTE;NO;Remote Norge;6640;6640
REMOTE;NO;Remote Norge;6944;6944
REMOTE;NO;Remote Norge;7270;7270
REMOTE;NO;Remote Norge;7860;7860
REMOTE;NO;Remote Norge;8270;8270
REMOTE;NO;Remote Norge;6642;6645
REMOTE;NO;Remote Norge;6947;6947
REMOTE;NO;Remote Norge;7273;7273
REMOTE;NO;Remote Norge;7863;7863
REMOTE;NO;Remote Norge;8273;8276
REMOTE;NO;Remote Norge;6650;6650
REMOTE;NO;Remote Norge;6953;6953
REMOTE;NO;Remote Norge;7280;7280
REMOTE;NO;Remote Norge;7870;7870
REMOTE;NO;Remote Norge;8278;8278
REMOTE;NO;Remote Norge;6652;6653
REMOTE;NO;Remote Norge;6957;6958
REMOTE;NO;Remote Norge;7282;7282
REMOTE;NO;Remote Norge;7873;7873
REMOTE;NO;Remote Norge;8283;8283
REMOTE;NO;Remote Norge;6655;6655
REMOTE;NO;Remote Norge;6963;6964
REMOTE;NO;Remote Norge;7284;7288
REMOTE;NO;Remote Norge;7882;7882
REMOTE;NO;Remote Norge;8285;8286
REMOTE;NO;Remote Norge;6657;6658
REMOTE;NO;Remote Norge;6966;6969
REMOTE;NO;Remote Norge;7290;7290
REMOTE;NO;Remote Norge;7884;7884
REMOTE;NO;Remote Norge;8288;8290
REMOTE;NO;Remote Norge;6670;6670
REMOTE;NO;Remote Norge;6973;6973
REMOTE;NO;Remote Norge;7295;7295
REMOTE;NO;Remote Norge;7890;7890
REMOTE;NO;Remote Norge;8294;8294
REMOTE;NO;Remote Norge;6674;6674
REMOTE;NO;Remote Norge;6975;6975
REMOTE;NO;Remote Norge;7298;7298
REMOTE;NO;Remote Norge;7892;7893
REMOTE;NO;Remote Norge;8297;8297
REMOTE;NO;Remote Norge;6680;6680
REMOTE;NO;Remote Norge;6977;6978
REMOTE;NO;Remote Norge;7300;7300
REMOTE;NO;Remote Norge;7896;7896
REMOTE;NO;Remote Norge;8300;8300
REMOTE;NO;Remote Norge;6683;6683
REMOTE;NO;Remote Norge;6980;6980
REMOTE;NO;Remote Norge;7310;7310
REMOTE;NO;Remote Norge;7898;7898
REMOTE;NO;Remote Norge;8310;8310
REMOTE;NO;Remote Norge;6686;6687
REMOTE;NO;Remote Norge;6982;6987
REMOTE;NO;Remote Norge;7316;7316
REMOTE;NO;Remote Norge;7900;7900
REMOTE;NO;Remote Norge;8312;8317
REMOTE;NO;Remote Norge;6690;6690
REMOTE;NO;Remote Norge;6993;6993
REMOTE;NO;Remote Norge;7318;7318
REMOTE;NO;Remote Norge;7940;7940
REMOTE;NO;Remote Norge;8320;8320
REMOTE;NO;Remote Norge;6693;6694
REMOTE;NO;Remote Norge;6995;6996
REMOTE;NO;Remote Norge;7320;7320
REMOTE;NO;Remote Norge;7944;7944
REMOTE;NO;Remote Norge;8322;8326
REMOTE;NO;Remote Norge;6697;6700
REMOTE;NO;Remote Norge;7039;7039
REMOTE;NO;Remote Norge;7327;7327
REMOTE;NO;Remote Norge;7950;7950
REMOTE;NO;Remote Norge;8328;8328
REMOTE;NO;Remote Norge;6710;6711
REMOTE;NO;Remote Norge;7057;7057
REMOTE;NO;Remote Norge;7332;7332
REMOTE;NO;Remote Norge;7960;7960
REMOTE;NO;Remote Norge;8340;8340
REMOTE;NO;Remote Norge;6713;6719
REMOTE;NO;Remote Norge;7070;7070
REMOTE;NO;Remote Norge;7334;7336
REMOTE;NO;Remote Norge;7970;7970
REMOTE;NO;Remote Norge;8352;8352
REMOTE;NO;Remote Norge;6723;6723
REMOTE;NO;Remote Norge;7074;7074
REMOTE;NO;Remote Norge;7340;7340
REMOTE;NO;Remote Norge;7973;7973
REMOTE;NO;Remote Norge;8357;8357
REMOTE;NO;Remote Norge;6727;6727
REMOTE;NO;Remote Norge;7083;7083
REMOTE;NO;Remote Norge;7342;7343
REMOTE;NO;Remote Norge;7976;7976
REMOTE;NO;Remote Norge;8360;8360
REMOTE;NO;Remote Norge;6729;6730
REMOTE;NO;Remote Norge;7100;7100
REMOTE;NO;Remote Norge;7345;7345
REMOTE;NO;Remote Norge;7980;7982
REMOTE;NO;Remote Norge;8372;8373
REMOTE;NO;Remote Norge;6734;6734
REMOTE;NO;Remote Norge;7105;7105
REMOTE;NO;Remote Norge;7350;7350
REMOTE;NO;Remote Norge;7985;7985
REMOTE;NO;Remote Norge;8380;8380
REMOTE;NO;Remote Norge;6737;6737
REMOTE;NO;Remote Norge;7110;7110
REMOTE;NO;Remote Norge;7353;7355
REMOTE;NO;Remote Norge;7990;7990
REMOTE;NO;Remote Norge;8382;8382
REMOTE;NO;Remote Norge;6740;6740
REMOTE;NO;Remote Norge;7112;7114
REMOTE;NO;Remote Norge;7357;7357
REMOTE;NO;Remote Norge;7993;7994
REMOTE;NO;Remote Norge;8384;8384
REMOTE;NO;Remote Norge;6750;6750
REMOTE;NO;Remote Norge;7120;7120
REMOTE;NO;Remote Norge;7370;7370
REMOTE;NO;Remote Norge;8050;8050
REMOTE;NO;Remote Norge;8387;8387
REMOTE;NO;Remote Norge;8390;8390
REMOTE;NO;Remote Norge;8870;8870
REMOTE;NO;Remote Norge;9357;9357
REMOTE;NO;Remote Norge;9770;9773
REMOTE;NO;Remote Norge;8392;8392
REMOTE;NO;Remote Norge;8880;8880
REMOTE;NO;Remote Norge;9372;9373
REMOTE;NO;Remote Norge;9775;9775
REMOTE;NO;Remote Norge;8407;8410
REMOTE;NO;Remote Norge;8890;8890
REMOTE;NO;Remote Norge;9376;9376
REMOTE;NO;Remote Norge;9782;9782
REMOTE;NO;Remote Norge;8412;8414
REMOTE;NO;Remote Norge;8892;8892
REMOTE;NO;Remote Norge;9380;9381
REMOTE;NO;Remote Norge;9790;9790
REMOTE;NO;Remote Norge;8426;8426
REMOTE;NO;Remote Norge;8897;8897
REMOTE;NO;Remote Norge;9385;9386
REMOTE;NO;Remote Norge;9800;9800
REMOTE;NO;Remote Norge;8428;8428
REMOTE;NO;Remote Norge;8900;8900
REMOTE;NO;Remote Norge;9388;9389
REMOTE;NO;Remote Norge;9802;9802
REMOTE;NO;Remote Norge;8430;8430
REMOTE;NO;Remote Norge;8904;8904
REMOTE;NO;Remote Norge;9392;9393
REMOTE;NO;Remote Norge;9815;9815
REMOTE;NO;Remote Norge;8432;8432
REMOTE;NO;Remote Norge;8906;8909
REMOTE;NO;Remote Norge;9395;9395
REMOTE;NO;Remote Norge;9826;9826
REMOTE;NO;Remote Norge;8438;8438
REMOTE;NO;Remote Norge;8920;8920
REMOTE;NO;Remote Norge;9419;9420
REMOTE;NO;Remote Norge;9840;9840
REMOTE;NO;Remote Norge;8447;8447
REMOTE;NO;Remote Norge;8960;8960
REMOTE;NO;Remote Norge;9423;9427
REMOTE;NO;Remote Norge;9845;9845
REMOTE;NO;Remote Norge;8470;8470
REMOTE;NO;Remote Norge;8976;8976
REMOTE;NO;Remote Norge;9430;9430
REMOTE;NO;Remote Norge;9900;9900
REMOTE;NO;Remote Norge;8475;8475
REMOTE;NO;Remote Norge;8980;8980
REMOTE;NO;Remote Norge;9436;9436
REMOTE;NO;Remote Norge;9910;9910
REMOTE;NO;Remote Norge;8480;8481
REMOTE;NO;Remote Norge;8985;8985
REMOTE;NO;Remote Norge;9440;9446
REMOTE;NO;Remote Norge;9912;9912
REMOTE;NO;Remote Norge;8484;8485
REMOTE;NO;Remote Norge;9027;9027
REMOTE;NO;Remote Norge;9450;9450
REMOTE;NO;Remote Norge;9925;9925
REMOTE;NO;Remote Norge;8488;8489
REMOTE;NO;Remote Norge;9030;9030
REMOTE;NO;Remote Norge;9453;9455
REMOTE;NO;Remote Norge;9930;9930
REMOTE;NO;Remote Norge;8522;8523
REMOTE;NO;Remote Norge;9034;9034
REMOTE;NO;Remote Norge;9470;9470
REMOTE;NO;Remote Norge;9935;9935
REMOTE;NO;Remote Norge;8533;8536
REMOTE;NO;Remote Norge;9040;9040
REMOTE;NO;Remote Norge;9475;9475
REMOTE;NO;Remote Norge;9950;9950
REMOTE;NO;Remote Norge;8540;8540
REMOTE;NO;Remote Norge;9042;9043
REMOTE;NO;Remote Norge;9510;9510
REMOTE;NO;Remote Norge;9960;9960
REMOTE;NO;Remote Norge;8543;8543
REMOTE;NO;Remote Norge;9046;9046
REMOTE;NO;Remote Norge;9512;9520
REMOTE;NO;Remote Norge;9980;9980
REMOTE;NO;Remote Norge;8590;8590
REMOTE;NO;Remote Norge;9055;9057
REMOTE;NO;Remote Norge;9525;9525
REMOTE;NO;Remote Norge;9982;9982
REMOTE;NO;Remote Norge;8615;8615
REMOTE;NO;Remote Norge;9060;9060
REMOTE;NO;Remote Norge;9531;9533
REMOTE;NO;Remote Norge;9990;9990
REMOTE;NO;Remote Norge;8617;8617
REMOTE;NO;Remote Norge;9062;9062
REMOTE;NO;Remote Norge;9536;9536
REMOTE;NO;Remote Norge;8630;8630
REMOTE;NO;Remote Norge;9064;9064
REMOTE;NO;Remote Norge;9540;9540
REMOTE;NO;Remote Norge;8647;8647
REMOTE;NO;Remote Norge;9068;9068
REMOTE;NO;Remote Norge;9545;9545
REMOTE;NO;Remote Norge;8658;8660
REMOTE;NO;Remote Norge;9103;9103
REMOTE;NO;Remote Norge;9550;9550
REMOTE;NO;Remote Norge;8664;8664
REMOTE;NO;Remote Norge;9106;9108
REMOTE;NO;Remote Norge;9580;9580
REMOTE;NO;Remote Norge;8666;8666
REMOTE;NO;Remote Norge;9110;9110
REMOTE;NO;Remote Norge;9582;9587
REMOTE;NO;Remote Norge;8672;8672
REMOTE;NO;Remote Norge;9118;9118
REMOTE;NO;Remote Norge;9590;9590
REMOTE;NO;Remote Norge;8680;8680
REMOTE;NO;Remote Norge;9120;9120
REMOTE;NO;Remote Norge;9593;9593
REMOTE;NO;Remote Norge;8690;8690
REMOTE;NO;Remote Norge;9128;9128
REMOTE;NO;Remote Norge;9595;9595
REMOTE;NO;Remote Norge;8720;8720
REMOTE;NO;Remote Norge;9130;9132
REMOTE;NO;Remote Norge;9600;9603
REMOTE;NO;Remote Norge;8723;8724
REMOTE;NO;Remote Norge;9135;9136
REMOTE;NO;Remote Norge;9609;9610
REMOTE;NO;Remote Norge;8730;8730
REMOTE;NO;Remote Norge;9138;9138
REMOTE;NO;Remote Norge;9612;9612
REMOTE;NO;Remote Norge;8732;8733
REMOTE;NO;Remote Norge;9140;9141
REMOTE;NO;Remote Norge;9620;9620
REMOTE;NO;Remote Norge;8735;8735
REMOTE;NO;Remote Norge;9143;9144
REMOTE;NO;Remote Norge;9624;9624
REMOTE;NO;Remote Norge;8740;8740
REMOTE;NO;Remote Norge;9146;9147
REMOTE;NO;Remote Norge;9650;9651
REMOTE;NO;Remote Norge;8742;8743
REMOTE;NO;Remote Norge;9151;9153
REMOTE;NO;Remote Norge;9657;9657
REMOTE;NO;Remote Norge;8750;8750
REMOTE;NO;Remote Norge;9159;9159
REMOTE;NO;Remote Norge;9664;9664
REMOTE;NO;Remote Norge;8752;8752
REMOTE;NO;Remote Norge;9161;9163
REMOTE;NO;Remote Norge;9670;9670
REMOTE;NO;Remote Norge;8754;8754
REMOTE;NO;Remote Norge;9170;9170
REMOTE;NO;Remote Norge;9672;9672
REMOTE;NO;Remote Norge;8762;8762
REMOTE;NO;Remote Norge;9173;9176
REMOTE;NO;Remote Norge;9690;9690
REMOTE;NO;Remote Norge;8764;8764
REMOTE;NO;Remote Norge;9178;9178
REMOTE;NO;Remote Norge;9692;9692
REMOTE;NO;Remote Norge;8766;8766
REMOTE;NO;Remote Norge;9180;9182
REMOTE;NO;Remote Norge;9700;9700
REMOTE;NO;Remote Norge;8770;8770
REMOTE;NO;Remote Norge;9184;9187
REMOTE;NO;Remote Norge;9709;9710
REMOTE;NO;Remote Norge;8813;8813
REMOTE;NO;Remote Norge;9190;9190
REMOTE;NO;Remote Norge;9713;9717
REMOTE;NO;Remote Norge;8820;8820
REMOTE;NO;Remote Norge;9192;9195
REMOTE;NO;Remote Norge;9722;9722
REMOTE;NO;Remote Norge;8830;8830
REMOTE;NO;Remote Norge;9197;9197
REMOTE;NO;Remote Norge;9730;9730
REMOTE;NO;Remote Norge;8842;8842
REMOTE;NO;Remote Norge;9302;9304
REMOTE;NO;Remote Norge;9740;9740
REMOTE;NO;Remote Norge;8844;8844
REMOTE;NO;Remote Norge;9310;9311
REMOTE;NO;Remote Norge;9742;9742
REMOTE;NO;Remote Norge;8850;8850
REMOTE;NO;Remote Norge;9321;9322
REMOTE;NO;Remote Norge;9750;9750
REMOTE;NO;Remote Norge;8854;8854
REMOTE;NO;Remote Norge;9334;9334
REMOTE;NO;Remote Norge;9760;9760
REMOTE;NO;Remote Norge;8860;8860
REMOTE;NO;Remote Norge;9336;9336
REMOTE;NO;Remote Norge;9763;9765
REMOTE;NO;Remote Norge;8865;8865
REMOTE;NO;Remote Norge;9350;9350
REMOTE;NO;Remote Norge;9768;9768
